tmvcodigo;tmvdescricao;tmvatualiza
14208;"EDISON/F.PROPRIA TRIC";"N"
14209;"EDSON KANIG/F.PROPRIA TR";"N"
14210;"EDVALTER/F.PROPRIA TRIC";"N"
14211;"ELIANDRO/ F.PROPRIA TRIC";"N"
14212;"ELIAS MOTA/F.PROPRIA TRI";"N"
14213;"EMILIANO/F.PROPRIA TRIC";"N"
14214;"ENGECART/EXODO";"N"
14215;"ENGECART/EXODO STRET";"N"
14216;"ENGECART/NATIVO";"N"
14217;"ENGECART/NATIVO OFF ROAD";"N"
14218;"ERI.OLI/ F.PROPRIA TRIC";"N"
14219;"EVALDO/F.PROPRIA TRIC";"N"
14220;"EVER/KIN MOTOR KM110 ST";"N"
14221;"EVER/KIN MOTOR KM125 ST";"N"
14222;"EVER/KIN MOTOR KM50 SS";"N"
14223;"EVER/KIN MOTOR KM50 ST";"N"
14224;"EVER/KIN MOTOR KM90 ST";"N"
14225;"EVER/KIN MOTOR KMB125 ST";"N"
14226;"EVER/KIN MOTOR KME125 ST";"N"
14227;"EVERR/KIN MOTOR KM200 ST";"N"
14228;"F.ALBERS/ F.PROPRIA TRIC";"N"
14229;"F.FRANCA/F.PROPRIA TRIC";"N"
14230;"F.FRANCA/F.PROPRIA TRICI";"N"
14231;"F.MASSARO/F.PROPRIA MOTO";"N"
14232;"F.MESSIAS/ F.PROPRIA MOT";"N"
14233;"F.PORTO/F.PROPRIA UTL";"N"
14234;"F.PROPRIA";"N"
14235;"F.ZIEMER/F.PROPRIA TRIC";"N"
14236;"FABRI/F.PROPRIA TRIC";"N"
14237;"FELIX/F.PROPRIA TRIC";"N"
14238;"FELZA/LUG";"N"
14239;"FELZA/LUG 2.0";"N"
14240;"FIAT/D NIKS AMBULANCIA";"N"
14241;"FIAT/D NIKS AMBULANCIA";"N"
14242;"FIAT/D REVESCAP AMB UTI";"N"
14243;"FIAT/D REVESCAP AMBUL SR";"N"
14244;"FIAT/DB NIKS AMBULANCIA";"N"
14245;"FIAT/DB REVESCAP AMB SR";"N"
14246;"FIAT/DMC GREENCAR AM06";"N"
14247;"FIAT/DOBLO ADV 1.8 FLEX";"N"
14248;"FIAT/DOBLO ADVENT FLEX";"N"
14249;"FIAT/DOBLO ANCAR AMB";"N"
14250;"FIAT/DOBLO C F TCA AMB";"N"
14251;"FIAT/DOBLO CA UNIVIDAS A";"N"
14252;"FIAT/DOBLO CARGO FLEX";"N"
14253;"FIAT/DOBLO ELX 1.8 FLEX";"N"
14254;"FIAT/DOBLO ELX FLEX";"N"
14255;"FIAT/DOBLO GREENCAR MO4";"N"
14256;"FIAT/DOBLO HLX 1.8 FLEX";"N"
14257;"FIAT/DOBLO JAEDI AMB";"N"
14258;"FIAT/DOBLO MODIFICAR AB1";"N"
14259;"FIAT/DOBLO PFISTER AMB";"N"
14260;"FIAT/DOBLO RONTAN AMB2";"N"
14261;"FIAT/DOBLO SITNEI MED";"N"
14262;"FIAT/DOBLO TRANSFORM AMB";"N"
14263;"FIAT/DUC MC UNIVIDAS AMB";"N"
14264;"FIAT/DUC RIBEIRAUTO AMB";"N"
14265;"FIAT/DUCATO ALLTECH";"N"
14266;"FIAT/DUCATO AMBULANCIA";"N"
14267;"FIAT/DUCATO ANCAR AMB";"N"
14268;"FIAT/DUCATO C UNIVIDAS A";"N"
14269;"FIAT/DUCATO GCASA AMB1";"N"
14270;"FIAT/DUCATO GREENCAR MO1";"N"
14271;"FIAT/DUCATO GREENCAR MO3";"N"
14272;"FIAT/DUCATO GUERRA MC 16";"N"
14273;"FIAT/DUCATO GUERRA MC 20";"N"
14274;"FIAT/DUCATO M BUS RONTAN";"N"
14275;"FIAT/DUCATO M ENGESIG MI";"N"
14276;"FIAT/DUCATO M JAEDI AMB";"N"
14277;"FIAT/DUCATO M JAEDI MIS";"N"
14278;"FIAT/DUCATO M JAEDI OESC";"N"
14279;"FIAT/DUCATO M SITNEI MED";"N"
14280;"FIAT/DUCATO M THB MIS";"N"
14281;"FIAT/DUCATO M UNIVIDAS A";"N"
14282;"FIAT/DUCATO MARIMAR AMB";"N"
14283;"FIAT/DUCATO MARTICAR 14";"N"
14284;"FIAT/DUCATO MARTICAR 16";"N"
14285;"FIAT/DUCATO MARTICAR 17";"N"
14286;"FIAT/DUCATO MC TCA AMB";"N"
14287;"FIAT/DUCATO MC TCA MIC";"N"
14288;"FIAT/DUCATO MC TH AMB";"N"
14289;"FIAT/DUCATO MC TH CC";"N"
14290;"FIAT/DUCATO MODIFICAR EM";"N"
14291;"FIAT/DUCATO MODIFICAR TP";"N"
14292;"FIAT/DUCATO MUL ATENA MI";"N"
14293;"FIAT/DUCATO MULT TAKO MI";"N"
14294;"FIAT/DUCATO MULTI REVESC";"N"
14295;"FIAT/DUCATO NIKS MIC 20";"N"
14296;"FIAT/DUCATO TECFORM TP";"N"
14297;"FIAT/DUCATO TRANSFORM A";"N"
14298;"FIAT/DUCATO TRANSFORM P";"N"
14299;"FIAT/DUCATO TRANSFORM TP";"N"
14300;"FIAT/DUCATO X PFISTER AM";"N"
14301;"FIAT/F GREENCAR AMB M11";"N"
14302;"FIAT/F REVESCAP AMBUL SR";"N"
14303;"FIAT/FIOR MODIFICAR AB1";"N"
14304;"FIAT/FIORINO AMBULANCIA";"N"
14305;"FIAT/FIORINO ANCAR AMB";"N"
14306;"FIAT/FIORINO ATENA AMB";"N"
14307;"FIAT/FIORINO FLEX";"N"
14308;"FIAT/FIORINO IE JAEDI AM";"N"
14309;"FIAT/FIORINO MARIMAR AMB";"N"
14310;"FIAT/FIORINO PFISTER AMB";"N"
14311;"FIAT/FIORINO SOBERANA";"N"
14312;"FIAT/FIORINO TECFORM AB1";"N"
14313;"FIAT/FIORINO TRANSFORM A";"N"
14314;"FIAT/FIORINO UNIVIDAS AM";"N"
14315;"FIAT/LINEA 16V";"N"
14316;"FIAT/PALIO 1.0 FLEX";"N"
14317;"FIAT/PALIO 1.8 R FLEX";"N"
14318;"FIAT/PALIO ELETRICO";"N"
14319;"FIAT/PALIO WE ELETRICO";"N"
14320;"FIAT/PALIO WEEK TREKKING";"N"
14321;"FIAT/PUNTO";"N"
14322;"FIAT/PUNTO 1.4";"N"
14323;"FIAT/PUNTO ELX 1.4";"N"
14324;"FIAT/PUNTO HLX 1.8";"N"
14325;"FIAT/PUNTO SPORTING 1.8";"N"
14326;"FIAT/SIENA 1.0 FLEX";"N"
14327;"FIAT/SIENA 1.4 TETRAFUEL";"N"
14328;"FIAT/STILO FLEX DUALOGIC";"N"
14329;"FIAT/STILO SPORTING DUAL";"N"
14330;"FIAT/STILO SPORTING FLEX";"N"
14331;"FIAT/STRAD MODIFICAR AB1";"N"
14332;"FIAT/STRADA TRANSFORM A";"N"
14333;"FIAT/STRADAT CIRILO FLEX";"N"
14334;"FIAT/TECFORM CLASS AB1";"N"
14335;"FIAT/TECFORM CLASS CD2";"N"
14336;"FIAT/UNO FLEX";"N"
14337;"FOGUESATTO/F.PROPRIA TRI";"N"
14338;"FORD/C2422 PMERECHIM 8X2";"N"
14339;"FORD/C2428 PMERECHIM 8X2";"N"
14340;"FORD/C2628 PMERECHIM 8X4";"N"
14341;"FORD/C2831 PMERECHIM 8X4";"N"
14342;"FORD/C4432 PMERECHIM 8X2";"N"
14343;"FORD/C5032 PMERECHIM 8X4";"N"
14344;"FORD/CARGO 1722 E";"N"
14345;"FORD/CARGO 2422 E";"N"
14346;"FORD/CARGO 2422 E MAGICA";"N"
14347;"FORD/CARGO 2422E TOPLINE";"N"
14348;"FORD/CARGO 2422T TPOLINE";"N"
14349;"FORD/CARGO 2428 E";"N"
14350;"FORD/CARGO 2428E TOPLINE";"N"
14351;"FORD/CARGO 2622 E";"N"
14352;"FORD/CARGO 2628 E";"N"
14353;"FORD/CARGO 2632 E";"N"
14354;"FORD/CARGO 2932 E";"N"
14355;"FORD/CARGO 3132 E";"N"
14356;"FORD/CARGO 3222 E";"N"
14357;"FORD/CARGO 3522 E";"N"
14358;"FORD/CARGO 4432 E";"N"
14359;"FORD/CARGO 4432E TOPLINE";"N"
14360;"FORD/CARGO 4532 E";"N"
14361;"FORD/CARGO 4532E TOPLINE";"N"
14362;"FORD/CARGO 5032 E";"N"
14363;"FORD/CARGO 5632 E";"N"
14364;"FORD/CARGO 6332 E";"N"
14365;"FORD/CARGO 712";"N"
14366;"FORD/CARGO 815 E TOPLINE";"N"
14367;"FORD/COUR MODIFICAR AB1";"N"
14368;"FORD/COURIER L 1.6 FLEX";"N"
14369;"FORD/COURIER R SOBERANA";"N"
14370;"FORD/COURIER RONTAN AMB2";"N"
14371;"FORD/COURIER RONTAN VAN";"N"
14372;"FORD/COURIER TECFORM";"N"
14373;"FORD/COURIER VIDA AMB";"N"
14374;"FORD/COURIER XL 1.6 FLEX";"N"
14375;"FORD/F250 TRV TROPCAB";"N"
14376;"FORD/F250 TRV TROPCABC";"N"
14377;"FORD/F250 TRV TROPCAMPO";"N"
14378;"FORD/F250 TRV TROPCLASS";"N"
14379;"FORD/F250 TRV TRPVAN";"N"
14380;"FORD/F250 XL F20";"N"
14381;"FORD/F250 XL F21";"N"
14382;"FORD/F250 XL F22";"N"
14383;"FORD/F250 XL W21";"N"
14384;"FORD/F250 XLT F20";"N"
14385;"FORD/F250 XLT F21";"N"
14386;"FORD/F250 XLT F22";"N"
14387;"FORD/F350 G HOBBY JUNIOR";"N"
14388;"FORD/F350 GUEVEL AMB MO1";"N"
14389;"FORD/F350 RIBEIRAUTO AMB";"N"
14390;"FORD/F350D TERRITORIO4X4";"N"
14391;"FORD/F350G TERRITORIO4X4";"N"
14392;"FORD/F4000 4X4";"N"
14393;"FORD/F4000 TERRITORIO4X4";"N"
14394;"FORD/F4000 VIDA AMB";"N"
14395;"FORD/FIESTA 1.0F TRAIL 5";"N"
14396;"FORD/FIESTA 1.6F TRAIL 5";"N"
14397;"FORD/FIESTA FLEX";"N"
14398;"FORD/FIESTA SEDAN FLEX";"N"
14399;"FORD/FIESTA TRAIL";"N"
14400;"FORD/FIESTA TRAIL 1.6F";"N"
14401;"FORD/KA 1.6 FLEX";"N"
14402;"FORD/KA FLEX";"N"
14403;"FORD/MULTIEIXO 2628E 8X4";"N"
14404;"FORTINI/F.PROPRIA TRIC";"N"
14405;"FRANCHIM/F.PROPRIA BUGGY";"N"
14406;"G. DO COUTO/F.PROPRIA TR";"N"
14407;"G.BARAN/ F.PROPRIA TRIC";"N"
14408;"G.BONIFACIO/F.PROPRIA M";"N"
14409;"G.CANUTO/F.PROPRIA TRIC";"N"
14410;"G.FREITAS/ F.PROPRIA TRI";"N"
14411;"G.LIPPERT/F.PROPRIA AUTO";"N"
14412;"G.PINHO/F.PROPRIA TRIC";"N"
14413;"G.ROLDAO/F.PROPRIA TRIC";"N"
14414;"G.ROMAO/ F.PROPRIA TRIC";"N"
14415;"G.VIEIRA/ F.PROPRIA TRIC";"N"
14416;"GAS GAS/ENDUCROSS EC 450";"N"
14417;"GELMO/F.PROPRIA TRICICLO";"N"
14418;"GET.MELO/ F.PROPRIA TRIC";"N"
14419;"GICELI/F.PROPRIA MOTO";"N"
14420;"GIL.EVAN/ F.PROPRIA TRIC";"N"
14421;"GILEADE B./F.PROPRIA TRI";"N"
14422;"GILNEI VEIGA/F.PROPRIA T";"N"
14423;"GM/ASTRA SEDAN ADVANTAGE";"N"
14424;"GM/CHAPEMEC SILVERADOD20";"N"
14425;"GM/CORSA HATCH ADVANTAGE";"N"
14426;"GM/CORSA SEDAN ADVANTAGE";"N"
14427;"GM/MONTANA DAVINCI MARSH";"N"
14428;"GM/MONTANA MODIFICAR AB1";"N"
14429;"GM/MONTANA RONTAN AMB";"N"
14430;"GM/MONTANA TECFORM AB1";"N"
14431;"GM/MONTANA UNIVIDAS AMB";"N"
14432;"GM/S10 24 RONTAN AMB";"N"
14433;"GM/S10 GREENCAR AMB M13";"N"
14434;"GM/S10 MODIFICAR AB1";"N"
14435;"GM/S10 TECFORM CLASS AB1";"N"
14436;"GM/S10 VIDA AMB";"N"
14437;"GM/VECTRA HATCH 4P GT";"N"
14438;"GM/VECTRA HATCH 4P GT-X";"N"
14439;"GM/VECTRA SD EXPRESSION";"N"
14440;"GM/ZAFIRA EXPRESSION";"N"
14441;"GOMERSBACH/F.PROPRIA UTL";"N"
14442;"GOMES.R/ F.PROPRIA BUGGY";"N"
14443;"H.BALCON/ F.PROPRIA AUTO";"N"
14444;"H.MATTOSCH/F.PROPRIA TRI";"N"
14445;"H.MELO/F.PROPRIA TRIC";"N"
14446;"H.PEREIRA/F.PROPRIA TRIC";"N"
14447;"H.RENZ/ F.PROPRIA MOTO";"N"
14448;"HAMILTON/F.PROPRIA TRIC";"N"
14449;"HANSEN/F.PROPRIA TRIC";"N"
14450;"HAOBAO/HB";"N"
14451;"HAOBAO/HB 110-3";"N"
14452;"HAOBAO/HB 125-9";"N"
14453;"HAOBAO/HB 150-T";"N"
14454;"HARLEY DAVIDSON/FLHRC";"N"
14455;"HARLEY DAVIDSON/FLHRS";"N"
14456;"HARLEY DAVIDSON/FLHTCU";"N"
14457;"HARLEY DAVIDSON/FLST";"N"
14458;"HARLEY DAVIDSON/FLSTC";"N"
14459;"HARLEY DAVIDSON/FLSTI";"N"
14460;"HARLEY DAVIDSON/FLSTN";"N"
14461;"HARLEY DAVIDSON/FXST";"N"
14462;"HECKMANN/ F.PROPRIA TRIC";"N"
14463;"HERMES.L/F.PROPRIA TRIC";"N"
14464;"HERMINIO/F.PROPRIA MOTO";"N"
14465;"HILDO ARAUJO/F.PROPRIA T";"N"
14466;"HIROYUKI/ F.PROPRIA MOTO";"N"
14467;"HOMRICH/F.PROPRIA TRIC";"N"
14468;"HONDA/125 NISSEI T-CARGO";"N"
14469;"HONDA/150 NISSEI T-CARGO";"N"
14470;"HONDA/BIZ 125 MAIS";"N"
14471;"HONDA/BRAZCAR CARGO 150";"N"
14472;"HONDA/BRAZCAR TRIP 150";"N"
14473;"HONDA/CB 400 FAUSTO";"N"
14474;"HONDA/CG FUCAM ADVENTURE";"N"
14475;"HONDA/CG150 SPECIAL EDIT";"N"
14476;"HONDA/CIVIC EXS FLEX";"N"
14477;"HONDA/CIVIC LX FLEX";"N"
14478;"HONDA/CIVIC LXS";"N"
14479;"HONDA/CIVIC LXS FLEX";"N"
14480;"HONDA/CIVIC SI";"N"
14481;"HONDA/ENGECART TRICAR";"N"
14482;"HONDA/FIT 1.5 S";"N"
14483;"HONDA/FIT LX FLEX";"N"
14484;"HONDA/FIT LXL FLEX";"N"
14485;"HONDA/FUCAM";"N"
14486;"HONDA/FUSCO CARGO 125A";"N"
14487;"HONDA/FUSCO CARGO 125F";"N"
14488;"HONDA/FUSCO CARGO 150A";"N"
14489;"HONDA/FUSCO CARGO 150F";"N"
14490;"HONDA/JPC TRICICLO";"N"
14491;"HONDA/METAINOX KATUNY MS";"N"
14492;"HONDA/POP100";"N"
14493;"HONDA/SHADOW 750";"N"
14494;"HONDA/SOLMAK CG 150 CA";"N"
14495;"HONDA/SOLMAK CG 150 CFF";"N"
14496;"HONDA/SOLMAK CG 150 CFT";"N"
14497;"HONDA/TARGOS TRIDER BA";"N"
14498;"HUPALOVSKI/F.PROPRIA TRI";"N"
14499;"HYUNDA/HR";"N"
14500;"HYUNDAI/HR HDB";"N"
14501;"HYUNDAI/HR LDB";"N"
14502;"I.BAUELS/ F.PROPRIA TRIC";"N"
14503;"I.ELOI/ F.PROPRIA TRIC";"N"
14504;"I.TEODORO/ F.PROPRIA TRI";"N"
14505;"I/ACURA MDX";"N"
14506;"I/ALFA ROMEO 145";"N"
14507;"I/ALFA ROMEO 159";"N"
14508;"I/ALFA ROMEO 159 2.2 JTS";"N"
14509;"I/ALFA ROMEU 156 JTS";"N"
14510;"I/ALFA ROMEU MONTREAL CP";"N"
14511;"I/ALFA ROMEU SPIDER 2.2";"N"
14512;"I/ALFA ROMEU SPIDER CONV";"N"
14513;"I/AMGC HUMMER H3";"N"
14514;"I/ARO 10.4";"N"
14515;"I/ARO 244";"N"
14516;"I/ARO 246";"N"
14517;"I/ASA";"N"
14518;"I/ASA 150T2";"N"
14519;"I/ASTON MARTIN DB9";"N"
14520;"I/AUDI A3 2.0T";"N"
14521;"I/AUDI A3 SPB 1.6";"N"
14522;"I/AUDI A3 SPB 2.0T FSI";"N"
14523;"I/AUDI A4";"N"
14524;"I/AUDI A4 2.0T FSI";"N"
14525;"I/AUDI A4 3.2 FSI";"N"
14526;"I/AUDI A4 AVANT 2.0T FSI";"N"
14527;"I/AUDI A4 AVANT 3.2 FSI";"N"
14528;"I/AUDI A4 CABRIO 3.2 FSI";"N"
14529;"I/AUDI A6 3.2 FSI";"N"
14530;"I/AUDI A6 4.2 FSI";"N"
14531;"I/AUDI A6 AVANT 3.2 FSI";"N"
14532;"I/AUDI A6 AVANT 4.2 FSI";"N"
14533;"I/AUDI A6 LIMOUSINE 2.4";"N"
14534;"I/AUDI A8 4.2 FSI";"N"
14535;"I/AUDI ALLROAD 3.2 FSI";"N"
14536;"I/AUDI Q7 3.6";"N"
14537;"I/AUDI Q7 4.2";"N"
14538;"I/AUDI Q7 4.2 FSI";"N"
14539;"I/AUDI Q7 4.2 FSI";"N"
14540;"I/AUDI R8 4.2 FSI";"N"
14541;"I/AUDI RS4 4.2 FSI";"N"
14542;"I/AUDI RS4 AVANT 4.2 FSI";"N"
14543;"I/AUDI S6 5.2 FSI";"N"
14544;"I/AUDI S6 AVANT 5.2 FSI";"N"
14545;"I/AUDI S8 5.2 FSI";"N"
14546;"I/AUDI TT CP 2.0T 200HP";"N"
14547;"I/AUDI TT CP 3.2 250HP";"N"
14548;"I/AUDI TT RD 2.0T 200HP";"N"
14549;"I/AUDI TT RD 3.2 250HP";"N"
14550;"I/AUDI TT ROADSTER 2.0";"N"
14551;"I/AUSTIN HEALEY 100-6 C";"N"
14552;"I/AUSTIN HEALEY 3000 MKI";"N"
14553;"I/AUSTIN HEALY MKIIICONV";"N"
14554;"I/BASHAN";"N"
14555;"I/BASHAN JONNY HYPE 110";"N"
14556;"I/BASHAN MIRAGE SPORT 20";"N"
14557;"I/BASHAN SV KC119 200";"N"
14558;"I/BENDA";"N"
14559;"I/BENDA BD 150T-3B";"N"
14560;"I/BENTLEY CONTINENTAL FS";"N"
14561;"I/BENTLEY S1";"N"
14562;"I/BIMOTA DB5S";"N"
14563;"I/BIMOTA DB6 DELIRIO";"N"
14564;"I/BMW 120I UD31";"N"
14565;"I/BMW 130I UB11";"N"
14566;"I/BMW 130I UD51";"N"
14567;"I/BMW 130I UF91";"N"
14568;"I/BMW 316I 4DR";"N"
14569;"I/BMW 316I AL11";"N"
14570;"I/BMW 318 AL31";"N"
14571;"I/BMW 318I AC84";"N"
14572;"I/BMW 3200 CS BERTONE";"N"
14573;"I/BMW 320I VG71";"N"
14574;"I/BMW 325I CB43";"N"
14575;"I/BMW 325I COUPE WB31";"N"
14576;"I/BMW 325I VH31";"N"
14577;"I/BMW 325ITO VW91";"N"
14578;"I/BMW 328XI VT73";"N"
14579;"I/BMW 330I EV53";"N"
14580;"I/BMW 330I SEDAN";"N"
14581;"I/BMW 335I COUPE";"N"
14582;"I/BMW 335I SEDAN";"N"
14583;"I/BMW 335I VB71";"N"
14584;"I/BMW 335I WL73";"N"
14585;"I/BMW 335ICA WL71";"N"
14586;"I/BMW 525I HD53";"N"
14587;"I/BMW 528I DD51";"N"
14588;"I/BMW 530I NE71 SECURITY";"N"
14589;"I/BMW 530I NU91";"N"
14590;"I/BMW 530I NU91 SECURITY";"N"
14591;"I/BMW 550I NB51";"N"
14592;"I/BMW 550I NB51 SECURITY";"N"
14593;"I/BMW 550I NW51";"N"
14594;"I/BMW 550I NW51 SECURITY";"N"
14595;"I/BMW 650CI CABRIO EK11";"N"
14596;"I/BMW 650CI COUPE EH11";"N"
14597;"I/BMW 650CI COUPE EH13";"N"
14598;"I/BMW G 650 XCHALLENGE";"N"
14599;"I/BMW G650 X CHALLENGE";"N"
14600;"I/BMW G650 X MOTO";"N"
14601;"I/BMW HP2";"N"
14602;"I/BMW M3 WD91";"N"
14603;"I/BMW MINI ONE";"N"
14604;"I/BMW MINI ONE";"N"
14605;"I/BMW MORRI MINI SEDAN";"N"
14606;"I/BMW R1200 GS";"N"
14607;"I/BMW R1200 GS ADVENTURE";"N"
14608;"I/BMW R1200 GS HP2";"N"
14609;"I/BMW X3 2.5 SI PC71";"N"
14610;"I/BMW X3 3.0 SI PC91";"N"
14611;"I/BMW X3 3.0SI";"N"
14612;"I/BMW X5 3.0I FE43";"N"
14613;"I/BMW X5 3.0SI";"N"
14614;"I/BMW X5 3.0SI FE41";"N"
14615;"I/BMW X5 4.8I FE81";"N"
14616;"I/BMW X5 4.8I FE83";"N"
14617;"I/BMW Z3 ROADSTER 1.9I";"N"
14618;"I/BMW Z4 2.0I BZ11";"N"
14619;"I/BMW Z4 3.0I ROADSTER";"N"
14620;"I/BMW Z4 3.0SI BU51";"N"
14621;"I/BMW Z4 M-COUPE DU91";"N"
14622;"I/BMW Z4 M-ROADSTER BT91";"N"
14623;"I/BUELL 1125R";"N"
14624;"I/BUELL XB125TT";"N"
14625;"I/BUELL XB12R";"N"
14626;"I/BUELL XB12S";"N"
14627;"I/BUELL XB12SCG";"N"
14628;"I/BUELL XB12SS";"N"
14629;"I/BUELL XB12X";"N"
14630;"I/BUELL XB9R";"N"
14631;"I/BUELL XB9SX";"N"
14632;"I/BUICK LESABRE CUSTON";"N"
14633;"I/BUICK RIVIERA";"N"
14634;"I/BUICK SABRE CONV";"N"
14635;"I/BUICK SPECIAL";"N"
14636;"I/BUICK SUPER EIGHT";"N"
14637;"I/BUICK SUPER SERIES CON";"N"
14638;"I/BUSA";"N"
14639;"I/CADILAC ESCALADE EXT";"N"
14640;"I/CADILLAC CONVERSIVEL";"N"
14641;"I/CADILLAC CONVERSIVEL";"N"
14642;"I/CADILLAC DEVILLE CONV";"N"
14643;"I/CADILLAC DTS";"N"
14644;"I/CADILLAC ELDORADO CV";"N"
14645;"I/CADILLAC ELDORADO SEV";"N"
14646;"I/CADILLAC ESCALADE ESV";"N"
14647;"I/CADILLAC HARDTOP";"N"
14648;"I/CADILLAC S62 CONV";"N"
14649;"I/CADILLAC S62 COUPE";"N"
14650;"I/CADILLAC S62 S DEVILLE";"N"
14651;"I/CADILLAC XLR CONV";"N"
14652;"I/CATERHAM CSR 260";"N"
14653;"I/CHANGAN";"N"
14654;"I/CHANGAN CHANA SC1016D";"N"
14655;"I/CHANGAN CHANA SC1026W";"N"
14656;"I/CHANGAN CHANA SC13D";"N"
14657;"I/CHANGAN CHANA SC23D";"N"
14658;"I/CHANGAN CHANA SC6350C";"N"
14659;"I/CHANGAN CHANA SC6360A";"N"
14660;"I/CHANGAN CHANA SC6360H";"N"
14661;"I/CHANGAN CHANA SC6391";"N"
14662;"I/CHANGE";"N"
14663;"I/CHANGHE M100 CH7101";"N"
14664;"I/CHEVROLET BELAIR CONV";"N"
14665;"I/CHEVROLET C70";"N"
14666;"I/CHEVROLET CAVALIER RS";"N"
14667;"I/CHEVROLET CORVET COUPE";"N"
14668;"I/CHEVROLET CORVETTE C3";"N"
14669;"I/CHEVROLET CORVETTE CON";"N"
14670;"I/CHEVROLET CORVETTE CON";"N"
14671;"I/CHEVROLET CORVETTE RDS";"N"
14672;"I/CHEVROLET CORVETTE S C";"N"
14673;"I/CHEVROLET CORVETTE TAR";"N"
14674;"I/CHEVROLET CORVETTE Z06";"N"
14675;"I/CHEVROLET EL CAMINO SS";"N"
14676;"I/CHEVROLET EL CAMINO TR";"N"
14677;"I/CHEVROLET G20";"N"
14678;"I/CHEVROLET SILVERADO";"N"
14679;"I/CHEVROLET SSR";"N"
14680;"I/CHEVROLET SSR";"N"
14681;"I/CHEVROLET SUBURBAN LT";"N"
14682;"I/CHITUMA";"N"
14683;"I/CHITUMA 150ZH 1";"N"
14684;"I/CHITUMA 150ZH 10";"N"
14685;"I/CHITUMA 150ZH 4";"N"
14686;"I/CHITUMA CTM 100";"N"
14687;"I/CHITUMA CTM 125";"N"
14688;"I/CHITUMA CTM 150";"N"
14689;"I/CHRYLER PT CRUISER CA";"N"
14690;"I/CHRYSLER 300 COUPE";"N"
14691;"I/CHRYSLER 300C RWD";"N"
14692;"I/CHRYSLER 300C SRT8";"N"
14693;"I/CHRYSLER 300C TOURING";"N"
14694;"I/CHRYSLER 300C V6";"N"
14695;"I/CHRYSLER CORDOBA";"N"
14696;"I/CHRYSLER CROSSFIRE CPE";"N"
14697;"I/CHRYSLER G VOYAGER SE";"N"
14698;"I/CHRYSLER IMPERIAL CROW";"N"
14699;"I/CHRYSLER IMPERIAL L B";"N"
14700;"I/CHRYSLER NEON SPORT 20";"N"
14701;"I/CHRYSLER PACIF TOURFWD";"N"
14702;"I/CHRYSLER PLYM NEON FDS";"N"
14703;"I/CHRYSLER STRATUS SE";"N"
14704;"I/CHRYSLER T COUNTRY 2WD";"N"
14705;"I/CITROEN";"N"
14706;"I/CITROEN AX FIRST";"N"
14707;"I/CITROEN BERLINGO FM19D";"N"
14708;"I/CITROEN BERLINGO FU19D";"N"
14709;"I/CITROEN C2 VTS 1.6I16V";"N"
14710;"I/CITROEN C4";"N"
14711;"I/CITROEN C4";"N"
14712;"I/CITROEN C4";"N"
14713;"I/CITROEN C4 2.0";"N"
14714;"I/CITROEN C4 20 VTR";"N"
14715;"I/CITROEN C4 20 VTR";"N"
14716;"I/CITROEN C4 EXC16F4P";"N"
14717;"I/CITROEN C4 EXC204P";"N"
14718;"I/CITROEN C4 EXC20BVA4P";"N"
14719;"I/CITROEN C4 EXCP20BVA4P";"N"
14720;"I/CITROEN C4 GL16F4P";"N"
14721;"I/CITROEN C4 GLX16F4P";"N"
14722;"I/CITROEN C4 GLX204P";"N"
14723;"I/CITROEN C4 GLX20BVA4P";"N"
14724;"I/CITROEN C4 PAL16EXCF";"N"
14725;"I/CITROEN C4 PAL16GLF";"N"
14726;"I/CITROEN C4 PAL16GLXF";"N"
14727;"I/CITROEN C4 PALLAS20EXA";"N"
14728;"I/CITROEN C4 PALLAS20EXM";"N"
14729;"I/CITROEN C4 PALLAS20EXP";"N"
14730;"I/CITROEN C4 PALLAS20GLA";"N"
14731;"I/CITROEN C4 PALLAS20GLM";"N"
14732;"I/CITROEN C4 TRIOMPHE";"N"
14733;"I/CITROEN C4PIC EXC A 7L";"N"
14734;"I/CITROEN C4PIC GLX A 7L";"N"
14735;"I/CITROEN C4PICASSO7P20L";"N"
14736;"I/CITROEN C6 EXCLUSIVE";"N"
14737;"I/CITROEN SAXO";"N"
14738;"I/COLECAO";"N"
14739;"I/CORD 812 SUPERCHARGED";"N"
14740;"I/CTM GREEN EASY";"N"
14741;"I/CTM GREEN RUNNER";"N"
14742;"I/CTM GREEN SAFARI";"N"
14743;"I/CTM GREEN SPORT";"N"
14744;"I/DACIA LOGAN";"N"
14745;"I/DACIA LOGAN LAUREATE";"N"
14746;"I/DACIA LOGAN MCV";"N"
14747;"I/DAIMLER SEDANCA CONV";"N"
14748;"I/DAYANG DY 110 20";"N"
14749;"I/DAYANG DY 125 37";"N"
14750;"I/DAYANG DY 150 12";"N"
14751;"I/DAYANG DY 150 15";"N"
14752;"I/DAYANG DY 200";"N"
14753;"I/DAYUN";"N"
14754;"I/DAYUN DY 110 6";"N"
14755;"I/DAYUN DY 125 8";"N"
14756;"I/DAYUN DY 150 7";"N"
14757;"I/DAYUN DY 150 9";"N"
14758;"I/DAYUN DY 150 GY";"N"
14759;"I/DAYUN DY 250 2";"N"
14760;"I/DAYUN JK 110";"N"
14761;"I/DAYUN JK 110 6";"N"
14762;"I/DAYUN JK 150 5C";"N"
14763;"I/DAYUN JK 150 GY";"N"
