tmvcodigo;tmvdescricao;tmvatualiza
2207;"ICOMDA/BRIGAO II                                  ";"N"
2208;"ICOMDA/BRIGAO IV                                  ";"N"
2209;"ICOMDA/BRASILEIRINHO II                           ";"N"
221;"IMP/SUZUKI                                        ";"N"
2210;"ICOMDA/BRASILEIRINHO IV                           ";"N"
2211;"ICOMDA/MG                                         ";"N"
2212;"ICOMDA/MG ES                                      ";"N"
2213;"PUMA/AM 2                                         ";"N"
2214;"PUMA/AM 3                                         ";"N"
2215;"PUMA/AM 4                                         ";"N"
2216;"PUMA/AM 1                                         ";"N"
2217;"PUMA/AMV                                          ";"N"
2218;"PUMA/GTC                                          ";"N"
2219;"PUMA/GTI                                          ";"N"
222;"IMP/SUZUKI ***                                    ";"N"
2220;"VW/AGRA MG                                        ";"N"
2221;"VW/CAETANO                                        ";"N"
2222;"VW/SWEEL DESIGN                                   ";"N"
2223;"GRETA/GAMO                                        ";"N"
2224;"CBP/SUPER 90 COUPE                                ";"N"
2225;"CBP/SUPER 90 CABRIOLET                            ";"N"
2226;"CBP/SUPER 90 SPEEDSTER                            ";"N"
2227;"CBP/191                                           ";"N"
2228;"CBP/EJ1                                           ";"N"
2229;"VW/CBP BAJA BUG                                   ";"N"
223;"IMP/VELOCETTE                                     ";"N"
2230;"VW/CBP BUGGY                                      ";"N"
2231;"ENVEMO/SUPER 90 COUPE                             ";"N"
2232;"ENVEMO/S. 90 CABRIOLET                            ";"N"
2233;"ENVEMO/CAMPER                                     ";"N"
2234;"LASSALE                                           ";"N"
2235;"CHEDA/BUGGY                                       ";"N"
2236;"CHEDA/SELVA                                       ";"N"
2237;"CHEDA/ENDURANCE                                   ";"N"
2238;"CHEDA/MC                                          ";"N"
2239;"MPLM/JAVALI                                       ";"N"
224;"IMP/YAMAHA XV 535                                 ";"N"
2240;"HOFSTETTER/1.6                                    ";"N"
2241;"HOFSTETTER/1.8                                    ";"N"
2242;"HOFSTETTER/2.0                                    ";"N"
2243;"ENSEADA/MG I                                      ";"N"
2244;"ENSEADA/MG II                                     ";"N"
2245;"ENSEADA/PLUS                                      ";"N"
2246;"ENSEADA/TUPY                                      ";"N"
2247;"ENSEADA/P-I                                       ";"N"
2248;"VW/ENSEADA MG I                                   ";"N"
2249;"VW/ENSEADA MG II                                  ";"N"
225;"IMP/YAMAHA FZR 600                                ";"N"
